Period,Year,Price
1,2025,16.01917
2,2025,16.01917
3,2025,1.815366
4,2025,1.815361
5,2025,1.81536
6,2025,1.815358
7,2025,1.815357
8,2025,1.815356
9,2025,1.815356
10,2025,1.815349
11,2025,1.815347
12,2025,1.815347
13,2025,1.815347
14,2025,1.815347
15,2025,1.815347
16,2025,1.815347
17,2025,1.815347
18,2025,6.990026
19,2025,16.01919
20,2025,16.01919
21,2025,16.01918
22,2025,16.01918
23,2025,16.01918
24,2025,1.815375
25,2025,1.815353
26,2025,1.815347
27,2025,1.815347
28,2025,1.815347
29,2025,1.815347
30,2025,1.815347
31,2025,1.815347
32,2025,6.989973
33,2025,10.01002
34,2025,9.989969
35,2025,1.815383
36,2025,1.815352
37,2025,1.815349
38,2025,1.815347
39,2025,1.815347
40,2025,1.815347
41,2025,1.815351
42,2025,79.60685
43,2025,79.60828
44,2025,108.5835
45,2025,86.90605
46,2025,79.60998
47,2025,79.60826
48,2025,79.60552
49,2025,75.107
50,2025,74.99217
51,2025,73.46899
52,2025,52.68662
53,2025,52.68661
54,2025,52.68662
55,2025,79.60516
56,2025,79.60826
57,2025,79.60827
58,2025,79.60826
59,2025,52.68662
60,2025,48.68662
61,2025,48.68661
62,2025,48.68661
63,2025,48.68662
64,2025,48.68662
65,2025,74.99194
66,2025,79.60828
67,2025,120.8206
68,2025,79.60829
69,2025,79.60829
70,2025,79.60829
71,2025,79.60829
72,2025,79.60828
73,2025,75.10698
74,2025,74.99249
75,2025,52.68663
76,2025,52.68662
77,2025,48.68664
78,2025,52.68663
79,2025,52.68661
80,2025,79.60827
81,2025,79.61385
82,2025,79.60829
83,2025,58.73239
84,2025,52.68661
85,2025,48.68664
86,2025,48.68664
87,2025,49.98193
88,2025,52.80493
89,2025,74.99252
90,2025,79.60855
91,2025,120.8336
92,2025,79.60855
93,2025,79.60831
94,2025,79.6083
95,2025,79.6083
96,2025,79.60678
97,2025,76.49466
98,2025,74.9922
99,2025,52.66909
100,2025,52.66909
101,2025,52.66909
102,2025,52.66908
103,2025,52.66908
104,2025,79.58636
105,2025,79.59116
106,2025,79.58635
107,2025,53.87118
108,2025,48.68663
109,2025,40.43038
110,2025,40.06366
111,2025,1.815347
112,2025,29.70623
113,2025,52.66908
114,2025,79.59409
115,2025,79.60828
116,2025,79.58635
117,2025,79.58635
118,2025,79.58634
119,2025,79.58376
120,2025,79.58619
121,2025,48.68663
122,2025,29.70624
123,2025,7.009998
124,2025,7.009995
125,2025,7.009994
126,2025,7.009997
127,2025,12.47487
128,2025,22.5125
129,2025,22.5125
130,2025,7.009996
131,2025,1.815347
132,2025,1.815347
133,2025,1.815347
134,2025,1.815347
135,2025,1.815347
136,2025,1.815347
137,2025,1.815347
138,2025,79.60779
139,2025,79.61031
140,2025,79.61157
141,2025,84.22055
142,2025,89.65105
143,2025,86.73588
144,2025,79.61139
145,2025,89.73977
146,2025,89.73977
147,2025,74.99197
148,2025,60.79183
149,2025,60.79182
150,2025,60.79183
151,2025,60.79182
152,2025,66.79995
153,2025,89.73608
154,2025,66.79996
155,2025,56.79247
156,2025,15.01003
157,2025,15.01002
158,2025,15.01002
159,2025,15.01002
160,2025,40.69561
161,2025,60.79183
162,2025,78.3672
163,2025,89.74059
164,2025,89.74059
165,2025,89.74059
166,2025,89.7406
167,2025,89.74059
168,2025,89.74059
169,2025,89.73604
170,2025,76.49455
171,2025,75.10722
172,2025,74.99194
173,2025,74.99243
